date,girls_attendance,boys_attendance,total_attendance,girls_engagement,boys_engagement,material_effectiveness,teaching_effectiveness,trainer_attendance,daily_assessment_score,practical_skills_score,theoretical_knowledge,project_completion_rate,participation_rate,homework_completion
2024-01-01,18,17,35,4.551364009352858,3.940263498318003,4.485221833192806,4.251794558073182,0,64.29424777597288,64.67573562457385,68.5882388999092,91.52845996543287,76.35059147190577,83.46250739501879
2024-01-02,16,20,36,4.377340344462022,3.8535005987266926,3.1112244394086925,4.739715853402715,1,64.52483924353895,68.2582112880566,67.09642312286442,99.58246073574935,97.1938140685146,76.56320603328221
2024-01-03,21,18,39,4.772670816674246,4.919074617135236,4.504939116634252,3.5128217991020936,1,64.72663745032199,78.78259408059169,80.8836855431643,82.76088235129977,93.95989030392442,82.5271394970631
2024-01-04,21,17,38,4.064178891662024,4.749214853972999,4.272257892176405,4.915624762218883,1,64.82283487882168,73.62385971950633,89.50138702425588,84.59019223888437,86.3424379725107,91.83719784347043
2024-01-05,19,18,37,3.866367560002868,4.56896949132898,4.3461266687095215,4.557049820293092,1,65.09244320156077,62.500753545353774,70.92839086592396,77.9192930411701,84.44196670509085,72.85896634368123
2024-01-08,21,18,39,4.701149564276695,4.415887054553973,3.47402850270542,4.935124311058068,0,65.53269969017815,90.68552722984282,61.22223091858931,83.19138343999703,95.0928399627714,81.09655964857163
2024-01-09,23,16,39,4.456130579796394,4.866481960396192,3.4712527207123314,4.0291715595519415,0,65.98954734725328,61.9715321229909,87.43881807231024,82.32071208140326,76.71526971572258,94.96578875364287
2024-01-10,17,23,40,4.008010318118418,4.919968307711582,3.693044399944172,4.987257231111598,0,66.09097733259381,66.74931622793551,69.95592474173255,78.4952180982249,76.85181580503463,75.54522390955532
2024-01-11,25,21,46,3.6878466484485055,3.9008142675128195,3.440394886119398,3.529499196347147,1,66.59494702098226,89.23969468082919,66.9892234464003,91.7780771053817,84.13162146225265,79.62940678626418
2024-01-12,20,16,36,3.9459577372939902,4.409343822287401,3.413419139871681,4.444272441187713,0,66.30398146499248,80.46350361462542,63.71324026390205,87.8779163862503,84.72646530176733,97.03939392800854
2024-01-15,18,18,36,4.663215241108946,4.530852503347005,3.3120567719397425,3.624566188723508,1,67.16609456791866,61.10885748245955,80.56868592977901,98.70878658532146,83.28733109131605,97.04630359093662
2024-01-16,20,17,37,4.35874027946307,3.8094123830344113,3.0410986544549607,4.995798945099056,0,67.03297382485515,88.81523106084728,81.05413760373622,75.86240485795987,81.42499658652054,84.57599746274896
2024-01-17,15,22,37,3.58084621359629,4.920473383043129,4.279465583950595,3.688686827463279,0,66.96204001312235,89.91619599736998,90.39585849421248,98.0257390593346,75.58809646512326,78.8056530121779
2024-01-18,20,18,38,4.804199752697379,4.467202579092204,3.5790445005829987,3.9663901902313974,1,67.94581365700098,80.31509275828371,67.98447215455138,88.09177825469195,78.60176808135853,97.47665328692557
